True_positive,False_positive,Relatedness,Coverage,Method,Ascertainment,Contamination,ROH
0.78,0.0,1st Degree,0.05,READ,0,1,0
1.0,0.0,Identical,0.05,READ,0,1,0
0.97,0.0,Unrelated,4.0,KIN,0,0,1
0.67,0.12,3rd Degree,4.0,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,4.0,KIN,0,0,1
0.94,0.05,2nd Degree,4.0,KIN,0,0,1
1.0,0.0,1st Degree,4.0,KIN,0,0,1
1.0,0.0,Identical,4.0,KIN,0,0,1
1.0,0.0,Parent-Child,4.0,KIN,0,0,1
1.0,0.01,Siblings,4.0,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,4.0,READ,0,0,1
0.94,0.05,2nd Degree,4.0,READ,0,0,1
1.0,0.01,1st Degree,4.0,READ,0,0,1
1.0,0.0,Identical,4.0,READ,0,0,1
0.97,0.0,Unrelated,0.2,KIN,0,0,1
0.67,0.1,3rd Degree,0.2,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,0.2,KIN,0,0,1
0.94,0.04,2nd Degree,0.2,KIN,0,0,1
1.0,0.0,1st Degree,0.2,KIN,0,0,1
1.0,0.0,Identical,0.2,KIN,0,0,1
1.0,0.0,Parent-Child,0.2,KIN,0,0,1
1.0,0.01,Siblings,0.2,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,0.2,READ,0,0,1
0.94,0.05,2nd Degree,0.2,READ,0,0,1
1.0,0.01,1st Degree,0.2,READ,0,0,1
1.0,0.0,Identical,0.2,READ,0,0,1
0.98,0.01,Unrelated,0.1,KIN,0,0,1
0.65,0.09,3rd Degree,0.1,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,0.1,KIN,0,0,1
0.94,0.03,2nd Degree,0.1,KIN,0,0,1
1.0,0.0,1st Degree,0.1,KIN,0,0,1
1.0,0.0,Identical,0.1,KIN,0,0,1
1.0,0.0,Parent-Child,0.1,KIN,0,0,1
1.0,0.0,Siblings,0.1,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,0.1,READ,0,0,1
0.91,0.05,2nd Degree,0.1,READ,0,0,1
1.0,0.01,1st Degree,0.1,READ,0,0,1
1.0,0.0,Identical,0.1,READ,0,0,1
0.98,0.01,Unrelated,0.05,KIN,0,0,1
0.56,0.11,3rd Degree,0.05,KIN,0,0,1
0.99,0.0,Unrelated w/o 3rd Degree,0.05,KIN,0,0,1
0.89,0.02,2nd Degree,0.05,KIN,0,0,1
1.0,0.01,1st Degree,0.05,KIN,0,0,1
1.0,0.0,Identical,0.05,KIN,0,0,1
0.98,0.0,Parent-Child,0.05,KIN,0,0,1
1.0,0.02,Siblings,0.05,KIN,0,0,1
0.98,0.0,Unrelated w/o 3rd Degree,0.05,READ,0,0,1
0.85,0.02,2nd Degree,0.05,READ,0,0,1
1.0,0.0,1st Degree,0.05,READ,0,0,1
1.0,0.0,Identical,0.05,READ,0,0,1
0.98,0.0,Unrelated,4.0,KIN,2,0,0
0.73,0.08,3rd Degree,4.0,KIN,2,0,0
0.99,0.0,Unrelated w/o 3rd Degree,4.0,KIN,2,0,0
0.94,0.02,2nd Degree,4.0,KIN,2,0,0
1.0,0.0,1st Degree,4.0,KIN,2,0,0
1.0,0.0,Identical,4.0,KIN,2,0,0
1.0,0.0,Parent-Child,4.0,KIN,2,0,0
1.0,0.02,Siblings,4.0,KIN,2,0,0
1.0,0.0,Unrelated w/o 3rd Degree,4.0,READ,2,0,0
0.92,0.01,2nd Degree,4.0,READ,2,0,0
1.0,0.0,1st Degree,4.0,READ,2,0,0
1.0,0.0,Identical,4.0,READ,2,0,0
0.98,0.01,Unrelated,0.2,KIN,2,0,0
0.69,0.07,3rd Degree,0.2,KIN,2,0,0
0.99,0.0,Unrelated w/o 3rd Degree,0.2,KIN,2,0,0
0.94,0.01,2nd Degree,0.2,KIN,2,0,0
1.0,0.0,1st Degree,0.2,KIN,2,0,0
1.0,0.0,Identical,0.2,KIN,2,0,0
1.0,0.0,Parent-Child,0.2,KIN,2,0,0
1.0,0.0,Siblings,0.2,KIN,2,0,0
