,Relatedness KIn,Log liklihood ratio (KIn),Relatedness READ,Z_upper (READ),Z_lower (READ),Relatedness lcMLkin,pair,nSNPs
0,Third Degree,3.679995748636657,Unrelated,,-3.31070059871,3rd-5th degree,AITI119_AITI2,454424
1,Third Degree,1.2357443683853262,Unrelated,,-1.66212680241,3rd-5th degree,AITI119_AITI55,25914
2,Third Degree,0.1409565427366033,Unrelated,,-7.14863431325,Unrelated,AITI119_AITI70,258593
3,Third Degree,0.9416367900191744,Unrelated,,-6.37629617766,3rd-5th degree,AITI119_AITI72,429404
4,Third Degree,0.07979674038907092,Unrelated,,-1.41245546826,too low coverage,AITI119_FMW,633
5,Third Degree,2.8651208148307887,Unrelated,,-4.02495500907,3rd-5th degree,AITI120_AITI2,450125
6,Third Degree,0.1182607447033206,Unrelated,,-7.01161979997,Unrelated,AITI120_AITI43,479887
7,Third Degree,1.4260344972227583,Unrelated,,-1.15880500391,3rd-5th degree,AITI120_AITI55,27306
8,First Degree,0.26208838637387544,Second Degree,7.22082298921,-0.095627123656,Sibling,AITI120_AITI86,26844
9,Second Degree,2.977918152208076,Unrelated,,-0.889121207462,Second Degree,AITI2_AITI55,33929
10,Third Degree,0.4444228767556524,Unrelated,,-5.11707869735,3rd-5th degree,AITI2_AITI70,340614
11,Third Degree,3.577850057509295,Unrelated,,-2.05410964303,3rd-5th degree,AITI2_AITI72,587530
12,Third Degree,1.237167088787828,Unrelated,,-2.28637415035,3rd-5th degree,AITI2_AITI86,33342
13,Third Degree,0.007361453752210424,Unrelated,,-0.215471351845,too low coverage,AITI3_AITI53,168
14,Third Degree,0.050019217418480366,Unrelated,,-0.563408358459,too low coverage,AITI3_AITI55,677
15,Third Degree,0.04131277050285576,Unrelated,,-0.7822173546,too low coverage,AITI3_AITI62B,480
16,Second Degree,0.10190531120588277,Unrelated,,-0.219532518669,too low coverage,AITI3_ALT2,174
17,Second Degree,0.3739156095626868,Unrelated,,-0.388814903362,too low coverage,AITI3_HUGO167,348
18,Third Degree,0.10455549806587784,Unrelated,,-0.437132783627,too low coverage,AITI3_OBKR84,326
19,Third Degree,0.008024209862028897,Unrelated,,-0.32534888466,too low coverage,AITI3_OTTM97,154
20,Second Degree,0.06561130016643801,Unrelated,,-0.721109663171,too low coverage,AITI3_POST131,750
21,First Degree,0.4330772319012084,Second Degree,0.811839560158,-0.105132864192,too low coverage,AITI3_UNTA5867,225
22,Third Degree,0.22409590053291595,Unrelated,,-0.769151922587,too low coverage,AITI3_UNTA851336,1983
23,Third Degree,0.08387030141670948,Unrelated,,-2.80395079685,too low coverage,AITI3_UNTA851412,4909
24,Third Degree,0.09526945045993784,Unrelated,,-0.533573532766,too low coverage,AITI3_UNTA89FK231,587
25,Third Degree,0.14151295831157995,Unrelated,,-1.57739841067,too low coverage,AITI32_AITI36,1487
26,Third Degree,0.13671273108570858,Unrelated,,-0.613048913422,too low coverage,AITI32_ALT2,555
27,Third Degree,0.057862097517698885,Unrelated,,-1.1916793779,too low coverage,AITI32_OBKR82,844
28,Third Degree,0.0136732198902223,Unrelated,,-1.27631720703,too low coverage,AITI32_POST85,1061
29,Third Degree,0.0939814381590338,Unrelated,,-0.833192479174,too low coverage,AITI33_AITI53,795
30,Second Degree,0.0038604296403264016,Unrelated,,-0.382798870394,too low coverage,AITI33_ALT2,777
31,Third Degree,0.052447936808107436,Unrelated,,-1.61136292609,too low coverage,AITI33_OBKR6,2771
32,Third Degree,0.017551223162683982,Unrelated,,-1.17764253255,too low coverage,AITI33_OBKR82,1201
33,Third Degree,0.01978338925692924,Unrelated,,-0.535856637436,too low coverage,AITI33_OTTM100,749
34,First Degree,1.5396760735435464,Second Degree,3.0974898043,-0.783835392785,too low coverage,AITI33_OTTM91,5898
35,Third Degree,0.08523553396253193,Unrelated,,-1.17459950284,too low coverage,AITI33_OTTM94,877
36,Third Degree,0.6182027136907777,Unrelated,,-0.825531135062,too low coverage,AITI33_UNTA89FK231,2443
37,Second Degree,0.30020831078866195,Unrelated,,-0.585793461847,too low coverage,AITI35_AITI37,872
38,Third Degree,0.07245586364686574,Unrelated,,-0.419145994009,too low coverage,AITI35_AITI51,344
39,Second Degree,0.13771741729797782,Unrelated,,-0.97602021629,too low coverage,AITI35_AITI55,693
40,First Degree,0.16637165252422648,Second Degree,0.23813978334,-0.411087347526,too low coverage,AITI35_AITI65child,114
41,Third Degree,0.011863764310318105,Unrelated,,-0.284210031272,too low coverage,AITI35_FMW,29
42,Third Degree,0.0629406347320014,Unrelated,,-0.226872756557,too low coverage,AITI35_HUGO167,340
43,Third Degree,0.07297767679972368,Unrelated,,-0.654798980697,too low coverage,AITI35_OBKR47,689
44,Third Degree,0.03748784991589105,Unrelated,,-0.269790426484,too low coverage,AITI35_OBKR82,261
45,Third Degree,0.018011867382824676,Unrelated,,-1.0492351348,too low coverage,AITI35_OBKR95,598
46,Second Degree,0.2418749465603014,Unrelated,,-0.00433853385499,too low coverage,AITI35_OTTM109,385
47,First Degree,0.8956626174865221,Second Degree,1.01236951362,-0.339370102308,too low coverage,AITI35_OTTM141,505
48,Third Degree,0.23266810686368444,Unrelated,,-0.630456541851,too low coverage,AITI35_OTTM91,970
49,Third Degree,0.041305115928437885,Unrelated,,-0.30939790314,too low coverage,AITI35_OTTM92,270
50,Third Degree,0.007311572989138426,Unrelated,,-0.353775130825,too low coverage,AITI35_OTTM94,219
51,Third Degree,0.03158265759623191,Unrelated,,-1.71211464922,too low coverage,AITI35_POST12,1079
52,Third Degree,0.11813285769255802,Unrelated,,-1.65837183156,too low coverage,AITI35_POST131,699
53,Second Degree,0.08911713000196643,Unrelated,,-0.192069958413,too low coverage,AITI35_UNTA121FK61,379
54,Second Degree,0.14407031365595913,Unrelated,,-0.215147555802,too low coverage,AITI36_AITI37,1860
55,Third Degree,0.15085520602957558,Unrelated,,-0.612489998156,too low coverage,AITI36_AITI55,1381
56,Third Degree,0.9863244921058368,Unrelated,,-2.85749326596,too low coverage,AITI36_AITI70,13680
57,Third Degree,1.9366526156484267,Unrelated,,-0.458480622638,3rd-5th degree,AITI36_AITI72,18868
58,Third Degree,0.13826433157043996,Unrelated,,-2.16586346163,too low coverage,AITI36_AITI77A,9483
59,First Degree,0.4759919184315606,Second Degree,0.736399081954,-0.231408181714,too low coverage,AITI36_OTTM141A,258
60,Third Degree,0.18103304344640486,Unrelated,,-2.571024293,too low coverage,AITI36_OTTM165,4178
61,Third Degree,0.2714653368278732,Unrelated,,-1.0761797465,too low coverage,AITI36_OTTM81,1263
62,Third Degree,0.28850173569264825,Unrelated,,-1.27837010998,too low coverage,AITI36_POST16,1015
63,Third Degree,0.13119936912644906,Unrelated,,-0.888198123018,too low coverage,AITI36_UNTA121FK61,866
64,Third Degree,0.35755909845346423,Unrelated,,-0.831093339642,too low coverage,AITI36_UNTA58152,2174
65,Second Degree,0.0752260418544779,Unrelated,,-0.206832638124,too low coverage,AITI36_UNTA89FK231,1195
66,Third Degree,0.2743351913730976,Unrelated,,-1.21024598941,too low coverage,AITI37_AITI51,1712
67,Third Degree,1.2668397817284358,Unrelated,,-4.51989023407,3rd-5th degree,AITI37_AITI70,29870
68,Third Degree,1.2575993288903646,Unrelated,,-4.54769324803,3rd-5th degree,AITI37_AITI72,46377
69,Third Degree,0.266220851165599,Unrelated,,-1.37269437839,too low coverage,AITI37_HUGO167,1518
70,Third Degree,0.16739974359137474,Unrelated,,-0.522072367332,too low coverage,AITI37_OTTM109,1729
71,Second Degree,0.1976197356924274,Unrelated,,-0.0947011973557,too low coverage,AITI37_OTTM110,600
72,Third Degree,0.07487839088412329,Unrelated,,-2.60646091143,too low coverage,AITI40_AITI62A,5208
73,Third Degree,1.4420677669935458,Unrelated,,-2.21323969197,too low coverage,AITI40_AITI62B,8275
74,Third Degree,4.340142547236837,Unrelated,,-2.41010346278,3rd-5th degree,AITI40_AITI72,174552
75,Third Degree,1.3688291801856851,Unrelated,,-1.78044246743,3rd-5th degree,AITI40_AITI77A,80217
76,Third Degree,0.04181762502497577,Unrelated,,-1.96197371271,too low coverage,AITI40_OTTM97,2285
77,Third Degree,0.30324029245366546,Unrelated,,-7.30278766241,3rd-5th degree,AITI43_AITI70,358205
78,Third Degree,0.025347089266531952,Unrelated,,-0.170435887032,too low coverage,AITI5_FMW,160
