,Relatedness KIn,Log liklihood ratio (KIn),Relatedness READ,Z_upper (READ),Z_lower (READ),Relatedness lcMLkin,pair,nSNPs
139,Third Degree,1.7378054345292642,Unrelated,,-8.72418913265,Unrelated,AITI72_AITI77A,224138
140,Third Degree,2.290200348126973,Unrelated,,-8.29691139419,3rd-5th degree,AITI72_AITI77B,260000
141,First Degree,6.992710338345772,Second Degree,5.30043841015,-0.0952882328166,too low coverage,AITI86_AITI87,12479
142,Third Degree,0.1732879829970102,Unrelated,,-0.822712898809,too low coverage,AITI86_HUGO167,1073
143,Third Degree,0.1354998812867052,Second Degree,0.080336716897,-2.3872931167,too low coverage,AITI86_OBKR95,1973
144,Second Degree,0.2624964721758261,Unrelated,,-0.298428989198,too low coverage,AITI86_OTTM100,580
145,Third Degree,0.2175176299585928,Unrelated,,-0.741925703219,too low coverage,AITI86_POST16,1519
146,Unrelated,0.025441250030525,Second Degree,0.117272448053,-0.930156625974,too low coverage,AITI87_FMW,323
147,Second Degree,3.2792993931948327,Unrelated,,-1.1149719499,Second Degree,AITI95_AITI98,249170
148,Third Degree,0.014018992839169186,Unrelated,,-1.38781640861,too low coverage,ALT1_OBKR76,1123
149,Second Degree,0.2221767590353352,Unrelated,,-0.0189025921383,too low coverage,ALT1_OBKR84,902
150,Second Degree,0.11371906932697586,Unrelated,,-1.14054639676,too low coverage,ALT1_OBKR95,1512
151,Third Degree,0.14139437333830074,Unrelated,,-1.49459815357,too low coverage,ALT1_OTTM91,2668
152,Third Degree,0.02265676452728372,Unrelated,,-0.757161139056,too low coverage,ALT2_OBKR47,688
153,Third Degree,0.05185611165093462,Unrelated,,-0.256460237341,too low coverage,ALT2_OTTM94,176
154,Second Degree,0.14011114582069695,Unrelated,,-0.188953189793,too low coverage,ALT2_UNTA121FK61,347
155,Second Degree,0.1956516430078068,Unrelated,,-0.0344562222118,too low coverage,ALT2_UNTA5867,209
156,Third Degree,0.19528969396725407,Unrelated,,-0.4569509163,too low coverage,ALT2_WEHR1193,993
157,Third Degree,0.4954425858384184,Unrelated,,-0.375661331558,Second Degree,ALT3_ALT4,35020
158,Third Degree,0.0376357111207426,Unrelated,,-0.916744075985,too low coverage,FMW_OBKR50,755
