,chrom,count,g_noin
0,1.0,130194.0,0.9995900116921074
1,1.0,128740.0,0.999677698825779
2,1.0,129347.0,0.99952261510453
3,1.0,128632.0,0.9995905596790307
4,1.0,128225.0,0.9997548574515469
5,1.0,128932.0,0.999059111871975
6,1.0,129277.0,0.9996362382023466
7,1.0,129727.0,0.9998041659905392
8,1.0,130510.0,0.9986100736479654
9,1.0,131192.0,0.9997414525390756
10,2.0,129941.0,0.999827482837812
11,2.0,129681.0,0.9998041152727832
12,2.0,128271.0,0.9995428021621687
13,2.0,128868.0,0.9997012820208699
14,2.0,130823.0,0.9996224262741945
15,2.0,128684.0,0.9997540980645978
16,2.0,128897.0,0.999776345085128
17,2.0,130225.0,0.9989477217812047
18,2.0,129044.0,0.999116744299738
19,2.0,128387.0,0.9996554049725416
20,3.0,128402.0,0.9998217786787685
21,3.0,127619.0,0.9997986472372452
22,3.0,129994.0,0.9997800378802421
23,3.0,128675.0,0.9996846243048048
24,3.0,127658.0,0.9997872003050831
25,3.0,128939.0,0.9994354514345911
26,3.0,130111.0,0.9997982750003652
27,3.0,128083.0,0.9997754064632877
28,3.0,129958.0,0.999798826649992
29,3.0,128945.0,0.9997628770597617
30,4.0,129231.0,0.9997705299501569
31,4.0,129280.0,0.9997912369098944
32,4.0,127472.0,0.9994685315478103
33,4.0,129017.0,0.9996861152879091
34,4.0,130338.0,0.9997774924806961
35,4.0,129580.0,0.999798605602922
36,4.0,129633.0,0.999804551113871
37,4.0,129628.0,0.9997155657313328
38,4.0,129316.0,0.9997928169816822
39,4.0,128621.0,0.999790152872546
40,5.0,129604.0,0.9997584763870158
41,5.0,129582.0,0.9997909780027584
42,5.0,129144.0,0.999504689910586
43,5.0,128785.0,0.9997167243522028
44,5.0,128473.0,0.9997917003985449
45,5.0,129593.0,0.9997637289300983
46,5.0,127714.0,0.9997953326391583
47,5.0,129836.0,0.999740228631115
48,5.0,128203.0,0.9996437739263223
49,5.0,127481.0,0.9997876659373436
50,6.0,128229.0,0.9998054867862508
51,6.0,128400.0,0.999772768804507
52,6.0,128311.0,0.999804363932662
53,6.0,131087.0,0.9992352272824278
54,6.0,127552.0,0.9997901975384395
55,6.0,128086.0,0.9994800538867112
56,6.0,129563.0,0.9997929447260178
57,6.0,129986.0,0.9986126431194555
58,6.0,129215.0,0.9998675630735799
59,6.0,130788.0,0.652593144299683
60,7.0,130078.0,0.9997664883410671
61,7.0,127466.0,0.9996883636251137
62,7.0,129128.0,0.9997962427171587
63,7.0,127651.0,0.9997218334198191
64,7.0,128285.0,0.9997849354566872
65,7.0,128961.0,0.9997927375232986
66,7.0,127516.0,0.9996821053516853
67,7.0,129850.0,0.9997768742991335
68,7.0,128706.0,0.9998001866028735
69,7.0,129557.0,0.9997872887904348
70,8.0,130792.0,0.9995990571729012
71,8.0,128382.0,0.9995341574584494
72,8.0,129337.0,0.9998036782747962
73,8.0,129804.0,0.9997991626982113
74,8.0,128712.0,0.9997854758515374
75,8.0,129132.0,0.998704737594165
76,8.0,128799.0,0.9988896243740637
77,8.0,130367.0,0.99975563010973
78,8.0,129202.0,0.9997831368280239
79,8.0,129674.0,0.9997842207541666
80,9.0,128412.0,0.9998281141723346
81,9.0,129401.0,0.9998046717149044
82,9.0,127954.0,0.9997886075985791
83,9.0,128727.0,0.9998034610368215
84,9.0,128633.0,0.9997523269766221
85,9.0,129100.0,0.999804765673283
86,9.0,130735.0,0.9996920316061244
87,9.0,128214.0,0.9975405309338207
88,9.0,129145.0,0.9997495126164633
89,9.0,130251.0,0.9997893239679988
90,10.0,129598.0,0.9998183569505045
91,10.0,128018.0,0.9998045354728712
92,10.0,128261.0,0.9982263216435271
93,10.0,127656.0,0.9997885775654083
94,10.0,130090.0,0.9997959525939969
95,10.0,128692.0,0.9998023401134141
96,10.0,130343.0,0.9997873026591005
97,10.0,130092.0,0.9997740038341592
98,10.0,130190.0,0.9992753385249872
99,10.0,128980.0,0.9997992438649496
100,11.0,129033.0,0.9998251556476097
101,11.0,129600.0,0.9996427714815961
102,11.0,129449.0,0.9997641176107558
103,11.0,128054.0,0.9996950176088885
104,11.0,129343.0,0.9996964008647803
105,11.0,129320.0,0.9784206704988703
106,11.0,130722.0,0.9995855737831741
107,11.0,129047.0,0.9997735974933355
108,11.0,129923.0,0.9998051548827774
109,11.0,129738.0,0.9995793773616685
110,12.0,129710.0,0.9998190320880619
111,12.0,129497.0,0.9997929628884198
112,12.0,128878.0,0.9980643570438636
113,12.0,129551.0,0.9998051165089371
114,12.0,129837.0,0.9996736934620482
115,12.0,128905.0,0.9997951753511395
116,12.0,128638.0,0.9997884371091459
117,12.0,128969.0,0.9995348723149721
118,12.0,131322.0,0.9998049539508103
119,12.0,129802.0,0.9997919912136085
120,13.0,129301.0,0.9997681945410526
121,13.0,129262.0,0.999572026601756
122,13.0,128890.0,0.9995644284275838
123,13.0,128765.0,0.999723277922633
124,13.0,128926.0,0.9997992944365371
125,13.0,130985.0,0.9991619345763629
126,13.0,128796.0,0.9997339336438753
127,13.0,129385.0,0.9997922175949631
128,13.0,130242.0,0.9998051052327994
129,13.0,130466.0,0.9998056141854594
130,14.0,129191.0,0.9986555504985588
131,14.0,128857.0,0.9997874430586619
132,14.0,128333.0,0.9998013647299338
133,14.0,128899.0,0.9997620052037615
134,14.0,129707.0,0.9997465049479985
135,14.0,129174.0,0.9998031846894022
136,14.0,129583.0,0.9997749664993074
137,14.0,128808.0,0.9997876851846769
138,14.0,131696.0,0.999603549243568
139,14.0,129625.0,0.9997794231149686
140,15.0,129227.0,0.9998235709202405
141,15.0,130659.0,0.9998014536574776
142,15.0,128865.0,0.9998028990880863
143,15.0,130290.0,0.9996132554880074
144,15.0,130316.0,0.9997993492232288
145,15.0,130098.0,0.9997931458112332
146,15.0,129748.0,0.9949986217703711
147,15.0,128119.0,0.9995540157974411
148,15.0,128860.0,0.9998030483062446
149,15.0,129007.0,0.9998043520713875
150,16.0,128221.0,0.9997608347786684
151,16.0,128062.0,0.9995505188410959
152,16.0,129784.0,0.9995899563941217
153,16.0,129091.0,0.9981337065374855
154,16.0,129367.0,0.9997581385470508
155,16.0,128908.0,0.9997000390022655
156,16.0,130173.0,0.9998051079556902
157,16.0,129864.0,0.9997881050733897
158,16.0,131320.0,0.999784636889576
159,16.0,129449.0,0.9991425324261337
160,17.0,128413.0,0.9995367551542168
161,17.0,129286.0,0.9997452336418718
162,17.0,128889.0,0.9988928092676793
163,17.0,127544.0,0.999800034709235
164,17.0,127864.0,0.9995979250442056
165,17.0,128474.0,0.9998044301952124
166,17.0,128243.0,0.9984399062918713
167,17.0,131524.0,0.9998034533901441
168,17.0,128605.0,0.9998009899418027
169,17.0,129412.0,0.9997954877604838
170,18.0,129716.0,0.9998113275454702
171,18.0,129472.0,0.9994838149917185
172,18.0,128783.0,0.9997370794426188
173,18.0,128849.0,0.9996004239076637
174,18.0,128103.0,0.9981660407229126
175,18.0,128348.0,0.9997794711442496
176,18.0,129455.0,0.9997036600378484
177,18.0,132320.0,0.99979423593681
178,18.0,129047.0,0.9997572649895232
179,18.0,129747.0,0.9998063925583933
180,19.0,129334.0,0.9981004765329369
181,19.0,129841.0,0.9990569394292338
182,19.0,129087.0,0.9997943025606695
183,19.0,130279.0,0.9998019101955699
184,19.0,128071.0,0.9994981137693306
185,19.0,128925.0,0.9997542447252136
186,19.0,129084.0,0.9997952154186236
187,19.0,130334.0,0.9994855747223651
188,19.0,129775.0,0.9990740703828805
189,19.0,128073.0,0.9997772212843262
190,20.0,130975.0,0.9994046148744055
191,20.0,128552.0,0.9985178368918382
192,20.0,130348.0,0.999804373004337
193,20.0,128449.0,0.9998003624101669
194,20.0,130155.0,0.9997897131438725
195,20.0,128587.0,0.988638657068387
196,20.0,131090.0,0.999807349131276
197,20.0,127802.0,0.9997993911558137
198,20.0,128572.0,0.9997948853424719
199,20.0,129174.0,0.9997825082262177
200,21.0,128557.0,0.9998263945026226
201,21.0,127962.0,0.999666410730877
202,21.0,129711.0,0.9997911980858037
203,21.0,130012.0,0.9986161749037268
204,21.0,127346.0,0.9999982410233568
205,21.0,128099.0,0.006697526767615906
206,21.0,127803.0,0.9999791982655448
207,21.0,127265.0,0.9997753971860052
208,21.0,129213.0,0.998565917725663
209,21.0,130585.0,0.9997941576775762
210,22.0,128387.0,0.9998124764128962
211,22.0,129620.0,0.9997854002343604
212,22.0,130579.0,0.999790194184783
213,22.0,128065.0,0.999785641547563
214,22.0,128467.0,0.9998051552622161
215,22.0,130006.0,0.9997014979804926
216,22.0,130521.0,0.9997614082815862
217,22.0,130626.0,0.9998043854297266
218,22.0,128148.0,0.9997342024779085
219,22.0,128288.0,0.9996587994539585
