,chrom,count,g_noin
0,1.0,130074.0,0.9999860988018933
1,1.0,128907.0,0.9999827637053404
2,1.0,129284.0,0.9999639510308272
3,1.0,128516.0,0.9999237801367163
4,1.0,128142.0,0.9999573023920036
5,1.0,128881.0,0.9999834018264334
6,1.0,129127.0,0.9999841778491582
7,1.0,129748.0,0.9999845859142192
8,1.0,130619.0,0.9999769677135418
9,1.0,131276.0,0.9999601157191047
10,2.0,130031.0,0.999985590527387
11,2.0,129774.0,0.9999849046366643
12,2.0,128431.0,0.9999850521994688
13,2.0,129170.0,0.9979981262378461
14,2.0,130776.0,0.9999778983690573
15,2.0,128769.0,0.9999804592364716
16,2.0,128579.0,0.9999807971499992
17,2.0,130247.0,0.9999317693213114
18,2.0,128982.0,0.9999839974305248
19,2.0,128329.0,0.9999821128757096
20,3.0,128515.0,0.9998791326458396
21,3.0,127626.0,0.9999850347579046
22,3.0,129850.0,0.9999837875139928
23,3.0,128741.0,0.9999250094857447
24,3.0,127869.0,0.9999846259097409
25,3.0,128846.0,0.99996398206245
26,3.0,129926.0,0.999981063200528
27,3.0,128173.0,0.9999660348239487
28,3.0,129909.0,0.9993058219301458
29,3.0,128741.0,0.9999784350683844
30,4.0,129483.0,0.9999622820113188
31,4.0,129265.0,0.9999822814751801
32,4.0,127590.0,0.9999850492636881
33,4.0,129054.0,0.9999847053646617
34,4.0,130376.0,0.9999812465934098
35,4.0,129645.0,0.999984674751713
36,4.0,129482.0,0.9999761174055511
37,4.0,129524.0,0.9999846322195562
38,4.0,129356.0,0.9999718852436716
39,4.0,128633.0,0.999984169056933
40,5.0,129679.0,0.9999853727330245
41,5.0,129494.0,0.9999658746251554
42,5.0,129104.0,0.9999786659054555
43,5.0,129178.0,0.9999813110289414
44,5.0,128479.0,0.9999771315837706
45,5.0,129439.0,0.9999836007035822
46,5.0,127817.0,0.9999850440676381
47,5.0,129886.0,0.9999847801834454
48,5.0,128072.0,0.9999849893520614
49,5.0,127572.0,0.9999844723624879
50,6.0,128753.0,0.9999791998907168
51,6.0,128487.0,0.9999836010302292
52,6.0,128188.0,0.9999747656989485
53,6.0,131280.0,0.9999778375188684
54,6.0,127658.0,0.9999754753696086
55,6.0,128188.0,0.9999847946308733
56,6.0,129576.0,0.9999765997831817
57,6.0,129668.0,0.9999724392273668
58,6.0,129068.0,0.9999414493006452
59,6.0,130967.0,0.9999671171725091
60,7.0,130045.0,0.9999838245090038
61,7.0,127589.0,0.9999849798347368
62,7.0,129288.0,0.9999825598474428
63,7.0,127540.0,0.9999505827237324
64,7.0,128556.0,0.9809627879262709
65,7.0,129137.0,0.999982937181853
66,7.0,127680.0,0.9999831951577177
67,7.0,129803.0,0.9999850454488199
68,7.0,128689.0,0.999984962729685
69,7.0,129695.0,0.9999848842021322
70,8.0,131086.0,0.9999844707539851
71,8.0,128488.0,0.999983312515058
72,8.0,129281.0,0.9999740442487912
73,8.0,129727.0,0.9999847218928736
74,8.0,128616.0,0.9999847441177837
75,8.0,129319.0,0.9999803567994409
76,8.0,128466.0,0.9999827954818369
77,8.0,130517.0,0.9999561660082986
78,8.0,129033.0,0.999984263004091
79,8.0,129877.0,0.9999512410977472
80,9.0,128376.0,0.9999849647910231
81,9.0,129046.0,0.9999850513670093
82,9.0,128319.0,0.9999789393668934
83,9.0,129041.0,0.9999752039730578
84,9.0,128283.0,0.9999764274411012
85,9.0,129292.0,0.999984923449792
86,9.0,130598.0,0.9999849530962733
87,9.0,128351.0,0.9999846442347111
88,9.0,129241.0,0.9999842515111291
89,9.0,129930.0,0.9999835728796208
90,10.0,129771.0,0.9999747058890023
91,10.0,128143.0,0.9999834031313002
92,10.0,128233.0,0.9999850529712332
93,10.0,127559.0,0.9999802531984414
94,10.0,129939.0,0.999984658023297
95,10.0,128999.0,0.9999836443003456
96,10.0,129902.0,0.9999849824143355
