,Wins,Prop,True,Unrelated,degree3,Degree2,Parent-Child,Siblings,Identical
67,68,0.0196551828244423,1.0,1.0,1.0,1.0,0.75,1.0,0.5
68,69,0.01898368678360123,1.0,1.0,1.0,1.0,0.75,1.0,0.5
69,70,0.016484897571606445,0.75,1.0,0.75,0.75,0.75,0.75,0.5
70,71,0.017280732233381887,0.75,1.0,0.75,0.75,0.75,0.75,0.5
71,72,0.015246002231937781,0.75,1.0,0.75,0.75,0.75,0.75,0.5
72,73,0.017296808856538608,0.75,1.0,0.75,0.75,0.75,0.75,0.5
73,74,0.014983923930195861,0.75,1.0,0.75,0.75,0.75,0.75,0.5
74,75,0.013328754075808897,0.75,1.0,0.75,0.75,0.75,0.75,0.5
75,76,0.015770010270036196,0.75,1.0,0.75,0.75,0.75,0.75,0.5
76,77,0.018457180969969036,0.75,1.0,0.75,0.75,0.75,0.75,0.5
77,78,0.017139637785474508,0.75,1.0,0.75,0.75,0.75,0.75,0.5
78,79,0.018549981812655398,0.75,1.0,0.75,0.75,0.75,0.75,0.5
79,80,0.014919752557224523,0.75,1.0,0.75,0.75,0.75,0.75,0.5
80,81,0.014395443822978483,1.0,1.0,0.75,0.75,0.75,0.75,0.5
81,82,0.022014116855775052,1.0,1.0,1.0,1.0,0.75,1.0,0.5
82,83,0.020697656698787516,1.0,1.0,1.0,1.0,0.75,1.0,0.5
83,84,0.021634669746839245,1.0,1.0,1.0,1.0,0.75,1.0,0.5
84,85,0.022424232558382943,1.0,1.0,1.0,1.0,0.75,1.0,0.5
85,86,0.021162091358571323,1.0,1.0,1.0,1.0,0.75,1.0,0.5
86,87,0.0172063687175885,1.0,1.0,1.0,0.75,0.75,0.75,0.5
87,88,0.017854542432154452,0.75,1.0,1.0,0.75,0.75,0.75,0.5
88,89,0.015219769187325368,0.75,1.0,1.0,0.75,0.75,0.75,0.5
89,90,0.023737216552559857,1.0,1.0,1.0,0.75,0.75,1.0,0.5
90,91,0.011832901446482648,0.5,1.0,0.75,0.75,0.75,0.75,0.5
91,92,0.01540245894288683,0.5,1.0,0.75,0.75,0.75,0.75,0.5
92,93,0.016211402794686965,0.75,1.0,0.75,0.75,0.75,0.75,0.5
93,94,0.018179195016841666,0.75,1.0,0.75,0.75,0.75,0.75,0.5
94,95,0.01732843443626878,0.75,1.0,0.75,0.75,0.75,0.75,0.5
95,96,0.014275387594547643,0.75,1.0,0.75,0.75,0.75,0.75,0.5
96,97,0.016245830553839564,0.75,1.0,0.75,0.75,0.75,0.75,0.5
97,98,0.017183234091283625,0.75,1.0,0.75,0.75,0.75,0.75,0.5
98,99,0.014183780798932882,0.5,1.0,0.75,0.75,0.75,0.75,0.5
99,100,0.010397809898003997,0.5,1.0,0.75,0.75,0.75,0.5,0.5
100,101,0.014412003212124722,0.75,1.0,0.75,0.75,0.75,0.75,0.5
101,102,0.01842058824292121,0.75,1.0,0.75,0.75,0.75,0.75,0.5
102,103,0.013874526974181253,0.75,1.0,0.75,0.75,0.75,0.75,0.5
103,104,0.013373687474209235,0.75,1.0,0.75,0.75,0.75,0.75,0.5
104,105,0.01339535137433813,0.75,1.0,0.75,0.75,0.75,0.75,0.5
105,106,0.013678170242455951,0.75,1.0,0.75,0.75,0.75,0.75,0.5
106,107,0.016667330882049938,0.75,1.0,0.75,0.75,0.75,0.75,0.5
107,108,0.01534056791805056,0.75,1.0,0.75,0.75,0.75,0.75,0.5
108,109,0.013488912744597606,0.75,1.0,0.75,0.75,0.75,0.75,0.5
109,110,0.013519695157537337,0.75,1.0,0.75,0.75,0.75,0.75,0.5
110,111,0.02305174775884368,1.0,1.0,0.75,0.75,0.75,1.0,0.5
111,112,0.013704243419784103,0.5,1.0,0.75,0.75,0.75,0.75,0.5
112,113,0.013612274982776451,0.75,1.0,0.75,0.75,0.75,0.75,0.5
113,114,0.01727340451396163,0.75,1.0,0.75,0.75,0.75,0.75,0.5
114,115,0.022105000536371957,0.75,1.0,0.75,0.75,0.75,1.0,0.5
115,116,0.016435547943195437,0.75,1.0,0.75,0.75,0.75,0.75,0.5
116,117,0.015588386038492665,0.75,1.0,0.75,0.75,0.75,0.75,0.5
117,118,0.01407528495390814,0.75,1.0,0.75,0.75,0.75,0.75,0.5
118,119,0.018468156351216684,0.75,1.0,0.75,0.75,0.75,0.75,0.5
119,120,0.011822187067022361,0.75,1.0,0.75,0.75,0.75,0.5,0.5
120,121,0.010700871196195161,0.5,1.0,0.75,0.75,0.75,0.5,0.5
121,122,0.0075038167518276305,0.5,1.0,0.75,0.75,0.75,0.5,0.5
122,123,0.011303216263562867,0.5,1.0,0.75,0.75,0.75,0.5,0.5
123,124,0.014268870899681015,0.5,1.0,0.75,0.75,0.75,0.5,0.5
124,125,0.011711051604809009,0.5,1.0,0.75,0.75,0.75,0.5,0.5
125,126,0.01122012318171775,0.5,1.0,0.75,0.75,0.75,0.5,0.5
126,127,0.01659170483263415,0.75,1.0,0.75,0.75,0.75,0.75,0.5
127,128,0.01582815198366259,0.75,1.0,0.75,0.75,0.75,0.75,0.5
128,129,0.017114059438211666,0.75,1.0,0.75,0.75,0.75,0.75,0.5
129,130,0.013628538779730573,0.5,1.0,0.75,0.75,0.75,0.75,0.5
130,131,0.008907471814934741,0.5,1.0,0.75,0.75,0.75,0.5,0.5
131,132,0.009548117362825482,0.5,1.0,0.75,0.75,0.75,0.5,0.5
132,133,0.014070704404474658,0.75,1.0,0.75,0.75,0.75,0.75,0.5
133,134,0.017041740496776335,0.75,1.0,0.75,0.75,0.75,0.75,0.5
134,135,0.018912432184996372,0.75,1.0,0.75,0.75,0.75,0.75,0.5
135,136,0.016430889038315338,0.75,1.0,0.75,0.75,0.75,0.75,0.5
136,137,0.01958993421734712,1.0,1.0,1.0,1.0,0.75,1.0,0.5
137,138,0.019975451128218916,1.0,1.0,1.0,1.0,0.75,1.0,0.5
138,139,0.02286965466420981,1.0,1.0,1.0,1.0,0.75,1.0,0.5
139,140,0.020292537791731607,1.0,1.0,1.0,1.0,0.75,1.0,0.5
140,141,0.015208481531258594,0.75,1.0,0.75,0.75,0.75,0.75,0.5
141,142,0.018451276417911635,0.75,1.0,0.75,0.75,0.75,0.75,0.5
142,143,0.011276335304906739,0.75,1.0,0.75,0.75,0.75,0.5,0.5
143,144,0.015122420378220492,0.75,1.0,0.75,0.75,0.75,0.75,0.5
144,145,0.023556920641587736,1.0,1.0,1.0,1.0,0.75,1.0,0.5
145,146,0.022627053149253087,1.0,1.0,1.0,1.0,0.75,1.0,0.5
146,147,0.012485256009585157,0.75,1.0,0.75,0.75,0.75,0.75,0.5
147,148,0.017568001328165037,0.75,1.0,0.75,0.75,0.75,0.75,0.5
148,149,0.0134144058877546,0.75,1.0,0.75,0.75,0.75,0.75,0.5
149,150,0.009710268383152278,0.5,1.0,0.75,0.75,0.75,0.5,0.5
150,151,0.017669782955395355,0.75,1.0,0.75,0.75,0.75,0.75,0.5
151,152,0.020493773826640874,1.0,1.0,0.75,0.75,0.75,1.0,0.5
