pair,rel,run,accuracy,cov
0_1,un,40,1.0,0.5
0_1,un,40,1.0,0.2
0_1,un,40,1.0,0.1
0_1,un,40,1.0,0.05
0_1,un,40,1.0,0.03
0_1,un,41,0.9954545454545455,4.0
0_1,un,41,0.9954545454545455,0.5
0_1,un,41,0.9954545454545455,0.2
0_1,un,41,1.0,0.1
0_1,un,41,1.0,0.05
0_1,un,41,0.9954545454545455,0.03
0_1,un,42,0.9954545454545455,4.0
0_1,un,42,0.9954545454545455,0.5
0_1,un,42,1.0,0.2
0_1,un,42,0.990909090909091,0.1
0_1,un,42,1.0,0.05
0_1,un,42,0.9954545454545455,0.03
0_1,un,43,0.9954545454545455,4.0
0_1,un,43,0.9954545454545455,0.5
0_1,un,43,0.9954545454545455,0.2
0_1,un,43,0.9954545454545455,0.1
0_1,un,43,1.0,0.05
0_1,un,43,0.9954545454545455,0.03
0_1,un,44,1.0,4.0
0_1,un,44,1.0,0.5
0_1,un,44,1.0,0.2
0_1,un,44,1.0,0.1
0_1,un,44,1.0,0.05
0_1,un,44,1.0,0.03
0_1,un,45,1.0,4.0
0_1,un,45,1.0,0.5
0_1,un,45,1.0,0.2
0_1,un,45,1.0,0.1
0_1,un,45,0.9954545454545455,0.05
0_1,un,45,1.0,0.03
0_1,un,46,1.0,4.0
0_1,un,46,0.9954545454545455,0.5
0_1,un,46,1.0,0.2
0_1,un,46,1.0,0.1
0_1,un,46,1.0,0.05
0_1,un,46,0.9954545454545455,0.03
0_1,un,47,0.9863636363636363,4.0
0_1,un,47,0.9863636363636363,0.5
0_1,un,47,0.9954545454545455,0.2
0_1,un,47,1.0,0.1
0_1,un,47,1.0,0.05
0_1,un,47,1.0,0.03
0_1,un,48,1.0,4.0
0_1,un,48,1.0,0.5
0_1,un,48,1.0,0.2
0_1,un,48,1.0,0.1
0_1,un,48,1.0,0.05
0_1,un,48,1.0,0.03
0_1,un,49,1.0,4.0
0_1,un,49,1.0,0.5
0_1,un,49,1.0,0.2
0_1,un,49,1.0,0.1
0_1,un,49,1.0,0.05
0_1,un,49,1.0,0.03
0_1,un,50,0.9954545454545455,4.0
0_1,un,50,1.0,0.5
0_1,un,50,1.0,0.2
0_1,un,50,1.0,0.1
0_1,un,50,1.0,0.05
0_1,un,50,1.0,0.03
0_1,un,51,1.0,4.0
0_1,un,51,1.0,0.5
0_1,un,51,1.0,0.2
0_1,un,51,1.0,0.1
0_1,un,51,0.9954545454545455,0.05
0_1,un,51,1.0,0.03
0_1,un,52,0.990909090909091,4.0
0_1,un,52,0.9954545454545455,0.5
0_1,un,52,1.0,0.2
0_1,un,52,1.0,0.1
0_1,un,52,1.0,0.05
0_1,un,52,1.0,0.03
0_1,un,53,0.9954545454545455,4.0
0_1,un,53,1.0,0.5
0_1,un,53,0.9954545454545455,0.2
0_1,un,53,1.0,0.1
0_1,un,53,1.0,0.05
0_1,un,53,1.0,0.03
0_1,un,54,1.0,4.0
0_1,un,54,1.0,0.5
0_1,un,54,1.0,0.2
0_1,un,54,1.0,0.1
0_1,un,54,1.0,0.05
0_1,un,54,0.9954545454545455,0.03
0_1,un,55,1.0,4.0
0_1,un,55,1.0,0.5
0_1,un,55,1.0,0.2
0_1,un,55,0.9954545454545455,0.1
0_1,un,55,0.9954545454545455,0.05
0_1,un,55,1.0,0.03
0_1,un,56,0.9954545454545455,4.0
0_1,un,56,0.9954545454545455,0.5
0_1,un,56,0.9954545454545455,0.2
0_1,un,56,0.9954545454545455,0.1
0_1,un,56,0.9954545454545455,0.05
0_1,un,56,1.0,0.03
0_1,un,57,0.9954545454545455,4.0
0_1,un,57,0.9954545454545455,0.5
0_1,un,57,0.9954545454545455,0.2
0_1,un,57,1.0,0.1
0_1,un,57,1.0,0.05
0_1,un,57,1.0,0.03
0_1,un,58,1.0,4.0
0_1,un,58,1.0,0.5
0_1,un,58,1.0,0.2
0_1,un,58,1.0,0.1
0_1,un,58,1.0,0.05
0_1,un,58,1.0,0.03
0_1,un,59,1.0,4.0
0_1,un,59,1.0,0.5
0_1,un,59,1.0,0.2
0_1,un,59,1.0,0.1
0_1,un,59,1.0,0.05
0_1,un,59,1.0,0.03
0_1,un,60,0.9954545454545455,4.0
0_1,un,60,1.0,0.5
0_1,un,60,1.0,0.2
0_1,un,60,1.0,0.1
0_1,un,60,0.990909090909091,0.05
0_1,un,60,0.9954545454545455,0.03
8_14,deg5,1,0.9863636363636363,4.0
8_14,deg5,1,0.9818181818181818,0.5
8_14,deg5,1,0.9727272727272728,0.2
8_14,deg5,1,0.9681818181818181,0.1
8_14,deg5,1,0.9272727272727272,0.05
8_14,deg5,1,0.9181818181818182,0.03
8_14,deg5,2,0.9954545454545455,4.0
8_14,deg5,2,0.9954545454545455,0.5
8_14,deg5,2,0.990909090909091,0.2
8_14,deg5,2,0.9727272727272728,0.1
8_14,deg5,2,0.9454545454545454,0.05
8_14,deg5,2,0.9727272727272728,0.03
8_14,deg5,3,0.9818181818181818,4.0
8_14,deg5,3,0.9772727272727273,0.5
8_14,deg5,3,0.9727272727272728,0.2
8_14,deg5,3,0.9772727272727273,0.1
8_14,deg5,3,0.9590909090909091,0.05
8_14,deg5,3,0.8954545454545455,0.03
8_14,deg5,4,0.9818181818181818,4.0
8_14,deg5,4,0.9818181818181818,0.5
8_14,deg5,4,0.9818181818181818,0.2
8_14,deg5,4,0.9772727272727273,0.1
8_14,deg5,4,0.9272727272727272,0.05
8_14,deg5,4,0.9,0.03
8_14,deg5,5,0.990909090909091,4.0
8_14,deg5,5,1.0,0.5
8_14,deg5,5,0.9954545454545455,0.2
8_14,deg5,5,0.9954545454545455,0.1
8_14,deg5,5,0.990909090909091,0.05
8_14,deg5,5,0.9772727272727273,0.03
8_14,deg5,6,0.9818181818181818,4.0
8_14,deg5,6,0.9772727272727273,0.5
8_14,deg5,6,0.9681818181818181,0.2
8_14,deg5,6,0.9772727272727273,0.1
8_14,deg5,6,0.9636363636363636,0.05
8_14,deg5,6,0.8727272727272727,0.03
8_14,deg5,7,0.9818181818181818,4.0
8_14,deg5,7,0.9818181818181818,0.5
8_14,deg5,7,0.9818181818181818,0.2
8_14,deg5,7,0.9636363636363636,0.1
8_14,deg5,7,0.9272727272727272,0.05
8_14,deg5,7,0.9272727272727272,0.03
8_14,deg5,8,0.9681818181818181,4.0
8_14,deg5,8,0.9863636363636363,0.5
8_14,deg5,8,0.9818181818181818,0.2
8_14,deg5,8,0.9727272727272728,0.1
8_14,deg5,8,0.9681818181818181,0.05
8_14,deg5,8,0.9727272727272728,0.03
8_14,deg5,9,0.9772727272727273,4.0
8_14,deg5,9,0.9954545454545455,0.5
8_14,deg5,9,0.9818181818181818,0.2
8_14,deg5,9,0.9454545454545454,0.1
8_14,deg5,9,0.8954545454545455,0.05
8_14,deg5,9,0.8909090909090909,0.03
8_14,deg5,10,0.9818181818181818,4.0
8_14,deg5,10,0.9818181818181818,0.5
8_14,deg5,10,0.9818181818181818,0.2
8_14,deg5,10,0.9590909090909091,0.1
8_14,deg5,10,0.9454545454545454,0.05
8_14,deg5,10,0.9136363636363637,0.03
8_14,deg5,11,0.9681818181818181,4.0
8_14,deg5,11,0.9727272727272728,0.5
8_14,deg5,11,0.9727272727272728,0.2
8_14,deg5,11,0.9636363636363636,0.1
8_14,deg5,11,0.8909090909090909,0.05
8_14,deg5,11,0.9227272727272727,0.03
8_14,deg5,12,0.9954545454545455,4.0
8_14,deg5,12,0.990909090909091,0.5
8_14,deg5,12,0.990909090909091,0.2
8_14,deg5,12,0.9772727272727273,0.1
8_14,deg5,12,0.95,0.05
8_14,deg5,12,0.9272727272727272,0.03
8_14,deg5,13,0.9772727272727273,4.0
8_14,deg5,13,0.9818181818181818,0.5
8_14,deg5,13,0.9727272727272728,0.2
8_14,deg5,13,0.9727272727272728,0.1
8_14,deg5,13,0.9545454545454546,0.05
8_14,deg5,13,0.9045454545454545,0.03
8_14,deg5,14,0.9772727272727273,4.0
8_14,deg5,14,0.9863636363636363,0.5
8_14,deg5,14,0.9727272727272728,0.2
8_14,deg5,14,0.9863636363636363,0.1
8_14,deg5,14,0.9363636363636364,0.05
8_14,deg5,14,0.9181818181818182,0.03
8_14,deg5,15,0.9727272727272728,4.0
8_14,deg5,15,0.9681818181818181,0.5
8_14,deg5,15,0.9727272727272728,0.2
8_14,deg5,15,0.9681818181818181,0.1
8_14,deg5,15,0.9090909090909091,0.05
8_14,deg5,15,0.9,0.03
8_14,deg5,16,0.990909090909091,4.0
8_14,deg5,16,0.990909090909091,0.5
8_14,deg5,16,0.990909090909091,0.2
8_14,deg5,16,0.9863636363636363,0.1
8_14,deg5,16,0.9363636363636364,0.05
8_14,deg5,16,0.9136363636363637,0.03
8_14,deg5,17,1.0,4.0
8_14,deg5,17,1.0,0.5
8_14,deg5,17,1.0,0.2
8_14,deg5,17,0.9727272727272728,0.1
8_14,deg5,17,0.9136363636363637,0.05
8_14,deg5,17,0.9227272727272727,0.03
8_14,deg5,18,0.9954545454545455,4.0
8_14,deg5,18,0.9954545454545455,0.5
8_14,deg5,18,1.0,0.2
8_14,deg5,18,0.9954545454545455,0.1
8_14,deg5,18,0.9727272727272728,0.05
8_14,deg5,18,0.9727272727272728,0.03
8_14,deg5,19,0.9727272727272728,4.0
8_14,deg5,19,0.9818181818181818,0.5
8_14,deg5,19,0.9727272727272728,0.2
8_14,deg5,19,0.9545454545454546,0.1
8_14,deg5,19,0.9454545454545454,0.05
8_14,deg5,19,0.9136363636363637,0.03
8_14,deg5,20,0.9863636363636363,4.0
8_14,deg5,20,0.9818181818181818,0.5
8_14,deg5,20,0.990909090909091,0.2
8_14,deg5,20,0.9590909090909091,0.1
8_14,deg5,20,0.9363636363636364,0.05
8_14,deg5,20,0.95,0.03
8_14,deg5,21,0.9681818181818181,4.0
8_14,deg5,21,0.9681818181818181,0.5
8_14,deg5,21,0.9772727272727273,0.2
8_14,deg5,21,0.95,0.1
8_14,deg5,21,0.9363636363636364,0.05
8_14,deg5,21,0.9318181818181818,0.03
8_14,deg5,22,1.0,4.0
8_14,deg5,22,1.0,0.5
8_14,deg5,22,0.990909090909091,0.2
8_14,deg5,22,0.9772727272727273,0.1
8_14,deg5,22,0.9590909090909091,0.05
8_14,deg5,22,0.9409090909090909,0.03
8_14,deg5,23,0.9727272727272728,4.0
8_14,deg5,23,0.9772727272727273,0.5
8_14,deg5,23,0.9772727272727273,0.2
8_14,deg5,23,0.9590909090909091,0.1
8_14,deg5,23,0.9227272727272727,0.05
8_14,deg5,23,0.9136363636363637,0.03
8_14,deg5,24,0.9772727272727273,4.0
8_14,deg5,24,0.9818181818181818,0.5
8_14,deg5,24,0.9818181818181818,0.2
8_14,deg5,24,0.9590909090909091,0.1
8_14,deg5,24,0.9727272727272728,0.05
8_14,deg5,24,0.9590909090909091,0.03
8_14,deg5,25,0.9863636363636363,4.0
8_14,deg5,25,0.9818181818181818,0.5
8_14,deg5,25,0.9863636363636363,0.2
8_14,deg5,25,0.9681818181818181,0.1
8_14,deg5,25,0.9045454545454545,0.05
8_14,deg5,25,0.8590909090909091,0.03
8_14,deg5,26,0.9954545454545455,4.0
8_14,deg5,26,0.990909090909091,0.5
8_14,deg5,26,0.9818181818181818,0.2
8_14,deg5,26,0.9818181818181818,0.1
8_14,deg5,26,0.9590909090909091,0.05
8_14,deg5,26,0.9363636363636364,0.03
8_14,deg5,27,0.9818181818181818,4.0
8_14,deg5,27,0.9863636363636363,0.5
8_14,deg5,27,0.9772727272727273,0.2
8_14,deg5,27,0.9636363636363636,0.1
8_14,deg5,27,0.9545454545454546,0.05
8_14,deg5,27,0.9636363636363636,0.03
8_14,deg5,28,0.9727272727272728,4.0
8_14,deg5,28,0.9727272727272728,0.5
8_14,deg5,28,0.9818181818181818,0.2
8_14,deg5,28,0.9636363636363636,0.1
8_14,deg5,28,0.9545454545454546,0.05
8_14,deg5,28,0.9454545454545454,0.03
8_14,deg5,29,0.9954545454545455,4.0
8_14,deg5,29,0.9954545454545455,0.5
8_14,deg5,29,0.990909090909091,0.2
8_14,deg5,29,0.990909090909091,0.1
8_14,deg5,29,0.9772727272727273,0.05
8_14,deg5,29,0.9727272727272728,0.03
8_14,deg5,30,0.990909090909091,4.0
8_14,deg5,30,0.990909090909091,0.5
8_14,deg5,30,0.9863636363636363,0.2
8_14,deg5,30,0.9590909090909091,0.1
8_14,deg5,30,0.9409090909090909,0.05
8_14,deg5,30,0.9409090909090909,0.03
8_14,deg5,31,0.9818181818181818,4.0
8_14,deg5,31,0.9818181818181818,0.5
8_14,deg5,31,1.0,0.2
8_14,deg5,31,0.9863636363636363,0.1
8_14,deg5,31,0.95,0.05
8_14,deg5,31,0.9454545454545454,0.03
8_14,deg5,32,0.9727272727272728,4.0
8_14,deg5,32,0.9772727272727273,0.5
8_14,deg5,32,0.9727272727272728,0.2
8_14,deg5,32,0.9727272727272728,0.1
8_14,deg5,32,0.9590909090909091,0.05
8_14,deg5,32,0.9318181818181818,0.03
8_14,deg5,33,0.9818181818181818,4.0
8_14,deg5,33,1.0,0.5
8_14,deg5,33,0.9863636363636363,0.2
8_14,deg5,33,0.9772727272727273,0.1
8_14,deg5,33,0.9545454545454546,0.05
8_14,deg5,33,0.9318181818181818,0.03
8_14,deg5,34,0.990909090909091,4.0
8_14,deg5,34,0.990909090909091,0.5
8_14,deg5,34,0.9863636363636363,0.2
8_14,deg5,34,0.9954545454545455,0.1
8_14,deg5,34,0.9772727272727273,0.05
8_14,deg5,34,0.9818181818181818,0.03
8_14,deg5,35,0.990909090909091,4.0
8_14,deg5,35,0.9863636363636363,0.5
8_14,deg5,35,0.990909090909091,0.2
8_14,deg5,35,0.9863636363636363,0.1
8_14,deg5,35,0.95,0.05
8_14,deg5,35,0.95,0.03
8_14,deg5,36,0.95,4.0
8_14,deg5,36,0.9590909090909091,0.5
8_14,deg5,36,0.9590909090909091,0.2
8_14,deg5,36,0.9681818181818181,0.1
8_14,deg5,36,0.9181818181818182,0.05
8_14,deg5,36,0.9363636363636364,0.03
8_14,deg5,37,0.9772727272727273,4.0
8_14,deg5,37,0.9818181818181818,0.5
8_14,deg5,37,0.9818181818181818,0.2
8_14,deg5,37,0.9454545454545454,0.1
8_14,deg5,37,0.9227272727272727,0.05
8_14,deg5,37,0.9090909090909091,0.03
8_14,deg5,38,0.9954545454545455,4.0
8_14,deg5,38,0.9954545454545455,0.5
8_14,deg5,38,0.990909090909091,0.2
8_14,deg5,38,0.9818181818181818,0.1
8_14,deg5,38,0.9636363636363636,0.05
8_14,deg5,38,0.9,0.03
8_14,deg5,39,0.9727272727272728,4.0
8_14,deg5,39,0.9727272727272728,0.5
8_14,deg5,39,0.9772727272727273,0.2
8_14,deg5,39,0.9636363636363636,0.1
8_14,deg5,39,0.9363636363636364,0.05
8_14,deg5,39,0.9590909090909091,0.03
8_14,deg5,40,1.0,4.0
8_14,deg5,40,1.0,0.5
8_14,deg5,40,1.0,0.2
8_14,deg5,40,0.9954545454545455,0.1
8_14,deg5,40,0.9954545454545455,0.05
8_14,deg5,40,0.9772727272727273,0.03
8_14,deg5,41,0.9863636363636363,4.0
8_14,deg5,41,0.9818181818181818,0.5
8_14,deg5,41,0.9818181818181818,0.2
8_14,deg5,41,0.9636363636363636,0.1
8_14,deg5,41,0.9454545454545454,0.05
8_14,deg5,41,0.9136363636363637,0.03
8_14,deg5,42,0.9863636363636363,4.0
8_14,deg5,42,0.9863636363636363,0.5
8_14,deg5,42,0.9818181818181818,0.2
8_14,deg5,42,0.9727272727272728,0.1
8_14,deg5,42,0.9590909090909091,0.05
8_14,deg5,42,0.9318181818181818,0.03
8_14,deg5,43,0.990909090909091,4.0
8_14,deg5,43,0.9863636363636363,0.5
8_14,deg5,43,0.990909090909091,0.2
8_14,deg5,43,0.9681818181818181,0.1
8_14,deg5,43,0.9409090909090909,0.05
8_14,deg5,43,0.9409090909090909,0.03
8_14,deg5,44,0.9863636363636363,4.0
8_14,deg5,44,0.9681818181818181,0.5
8_14,deg5,44,0.9818181818181818,0.2
8_14,deg5,44,0.9772727272727273,0.1
8_14,deg5,44,0.9727272727272728,0.05
8_14,deg5,44,0.9545454545454546,0.03
8_14,deg5,45,0.9818181818181818,4.0
8_14,deg5,45,0.9863636363636363,0.5
8_14,deg5,45,0.9727272727272728,0.2
8_14,deg5,45,0.9727272727272728,0.1
8_14,deg5,45,0.9227272727272727,0.05
8_14,deg5,45,0.8909090909090909,0.03
8_14,deg5,46,0.990909090909091,4.0
8_14,deg5,46,0.9818181818181818,0.5
8_14,deg5,46,0.9863636363636363,0.2
8_14,deg5,46,0.9818181818181818,0.1
8_14,deg5,46,0.9545454545454546,0.05
8_14,deg5,46,0.9363636363636364,0.03
8_14,deg5,47,0.990909090909091,4.0
8_14,deg5,47,0.990909090909091,0.5
8_14,deg5,47,0.9818181818181818,0.2
8_14,deg5,47,0.9818181818181818,0.1
8_14,deg5,47,0.9409090909090909,0.05
8_14,deg5,47,0.9545454545454546,0.03
8_14,deg5,48,1.0,4.0
8_14,deg5,48,1.0,0.5
8_14,deg5,48,1.0,0.2
8_14,deg5,48,0.990909090909091,0.1
8_14,deg5,48,0.9636363636363636,0.05
8_14,deg5,48,0.9545454545454546,0.03
8_14,deg5,49,0.9863636363636363,4.0
8_14,deg5,49,0.9863636363636363,0.5
8_14,deg5,49,0.9863636363636363,0.2
8_14,deg5,49,0.9636363636363636,0.1
8_14,deg5,49,0.9363636363636364,0.05
8_14,deg5,49,0.9318181818181818,0.03
8_14,deg5,50,0.9772727272727273,4.0
8_14,deg5,50,0.9727272727272728,0.5
8_14,deg5,50,0.9681818181818181,0.2
8_14,deg5,50,0.9590909090909091,0.1
8_14,deg5,50,0.9227272727272727,0.05
8_14,deg5,50,0.8681818181818182,0.03
8_14,deg5,51,0.9954545454545455,4.0
8_14,deg5,51,0.9954545454545455,0.5
8_14,deg5,51,0.9954545454545455,0.2
8_14,deg5,51,0.9818181818181818,0.1
8_14,deg5,51,0.9818181818181818,0.05
8_14,deg5,51,0.9727272727272728,0.03
8_14,deg5,52,0.9772727272727273,4.0
8_14,deg5,52,0.9772727272727273,0.5
8_14,deg5,52,0.9818181818181818,0.2
8_14,deg5,52,0.9636363636363636,0.1
8_14,deg5,52,0.9590909090909091,0.05
8_14,deg5,52,0.9454545454545454,0.03
8_14,deg5,53,0.95,4.0
8_14,deg5,53,0.9590909090909091,0.5
8_14,deg5,53,0.9545454545454546,0.2
8_14,deg5,53,0.9227272727272727,0.1
8_14,deg5,53,0.9,0.05
8_14,deg5,53,0.8409090909090909,0.03
8_14,deg5,54,0.9954545454545455,4.0
8_14,deg5,54,0.9954545454545455,0.5
8_14,deg5,54,0.9954545454545455,0.2
8_14,deg5,54,0.990909090909091,0.1
8_14,deg5,54,0.95,0.05
8_14,deg5,54,0.9590909090909091,0.03
8_14,deg5,55,0.9954545454545455,4.0
8_14,deg5,55,0.990909090909091,0.5
8_14,deg5,55,0.9863636363636363,0.2
8_14,deg5,55,0.9636363636363636,0.1
8_14,deg5,55,0.9636363636363636,0.05
8_14,deg5,55,0.9590909090909091,0.03
8_14,deg5,56,0.9818181818181818,4.0
8_14,deg5,56,0.9727272727272728,0.5
8_14,deg5,56,0.9863636363636363,0.2
8_14,deg5,56,0.9727272727272728,0.1
8_14,deg5,56,0.9454545454545454,0.05
8_14,deg5,56,0.9363636363636364,0.03
8_14,deg5,57,0.9772727272727273,4.0
8_14,deg5,57,0.9772727272727273,0.5
8_14,deg5,57,0.9818181818181818,0.2
8_14,deg5,57,0.9636363636363636,0.1
8_14,deg5,57,0.9409090909090909,0.05
8_14,deg5,57,0.9,0.03
8_14,deg5,58,0.9818181818181818,4.0
